Rarity,Set Name,Card Type,Pokemon Name,Market Price
Common,HeartGold SoulSilver,Energy,N/A,9.51
Common,HeartGold SoulSilver,Energy,N/A,9.39
Secret Rare,SM - Ultra Prism,Energy,N/A,9.25
Secret Rare,SM - Unified Minds,Energy,N/A,8.98
Rare,POP Series 5,Energy,N/A,8.96
Common,HeartGold SoulSilver,Energy,N/A,8.85
Promo,League & Championship Cards,Energy,N/A,8.5
Promo,League & Championship Cards,Energy,N/A,8.39
Promo,League & Championship Cards,Energy,N/A,8.3
Secret Rare,SM - Cosmic Eclipse,Energy,N/A,8.26
Promo,League & Championship Cards,Energy,N/A,8.14
Rare,Team Rocket,Energy,N/A,8.0
Rare,Crystal Guardians,Energy,N/A,7.5
Holo Rare,Holon Phantoms,Energy,N/A,7.2
Common,HeartGold SoulSilver,Energy,N/A,7.14
Promo,League & Championship Cards,Energy,N/A,7.12
Uncommon,Skyridge,Energy,N/A,7.04
Secret Rare,SM - Crimson Invasion,Energy,N/A,7.03
Rare,Aquapolis,Energy,N/A,6.74
Promo,League & Championship Cards,Energy,N/A,6.73
Rare,Expedition,Energy,N/A,6.72
Holo Rare,Emerald,Energy,N/A,6.7
Rare,Neo Genesis,Energy,N/A,6.62
Holo Rare,Emerald,Energy,N/A,6.24
Promo,League & Championship Cards,Energy,N/A,6.23
Holo Rare,Holon Phantoms,Energy,N/A,6.06
Promo,League & Championship Cards,Energy,N/A,6.05
Promo,League & Championship Cards,Energy,N/A,5.97
Holo Rare,Emerald,Energy,N/A,5.88
Rare,Aquapolis,Energy,N/A,5.79
Uncommon,Deoxys,Energy,N/A,5.64
Promo,League & Championship Cards,Energy,N/A,5.48
Promo,League & Championship Cards,Energy,N/A,5.47
Rare,Power Keepers,Energy,N/A,5.41
Rare,Neo Genesis,Energy,N/A,5.38
Secret Rare,SM - Crimson Invasion,Energy,N/A,5.33
Holo Rare,Holon Phantoms,Energy,N/A,5.31
Uncommon,HeartGold SoulSilver,Energy,N/A,5.26
Rare,Power Keepers,Energy,N/A,5.2
Rare,Expedition,Energy,N/A,5.17
Uncommon,Skyridge,Energy,N/A,5.01
Uncommon,Team Rocket Returns,Energy,N/A,4.97
Promo,League & Championship Cards,Energy,N/A,4.86
Holo Rare,Holon Phantoms,Energy,N/A,4.82
Holo Rare,Emerald,Energy,N/A,4.66
Uncommon,Aquapolis,Energy,N/A,4.62
Promo,League & Championship Cards,Energy,N/A,4.59
Promo,League & Championship Cards,Energy,N/A,4.48
Promo,League & Championship Cards,Energy,N/A,4.34
Common,Diamond and Pearl,Energy,N/A,4.14
Uncommon,Team Rocket Returns,Energy,N/A,4.05
Promo,League & Championship Cards,Energy,N/A,4.03
Uncommon,XY - BREAKthrough,Energy,N/A,4.02
Promo,League & Championship Cards,Energy,N/A,3.99
Holo Rare,Holon Phantoms,Energy,N/A,3.88
Promo,League & Championship Cards,Energy,N/A,3.87
Holo Rare,Holon Phantoms,Energy,N/A,3.84
Promo,League & Championship Cards,Energy,N/A,3.76
Uncommon,SM - Unified Minds,Energy,N/A,3.63
Promo,League & Championship Cards,Energy,N/A,3.54
Uncommon,Base Set,Energy,N/A,3.41
Promo,League & Championship Cards,Energy,N/A,3.36
Promo,League & Championship Cards,Energy,N/A,3.3
Promo,League & Championship Cards,Energy,N/A,3.29
Rare,Power Keepers,Energy,N/A,3.22
Uncommon,Aquapolis,Energy,N/A,3.2
Uncommon,Aquapolis,Energy,N/A,3.17
Rare,Power Keepers,Energy,N/A,3.16
Uncommon,Deoxys,Energy,N/A,3.16
Promo,League & Championship Cards,Energy,N/A,3.15
Uncommon,POP Series 5,Energy,N/A,3.0
Promo,League & Championship Cards,Energy,N/A,2.99
Promo,League & Championship Cards,Energy,N/A,2.98
Rare,Power Keepers,Energy,N/A,2.89
Rare,Power Keepers,Energy,N/A,2.84
Uncommon,SWSH02: Rebel Clash,Energy,N/A,2.83
Uncommon,POP Series 4,Energy,N/A,2.81
Common,Diamond and Pearl,Energy,N/A,2.76
Promo,League & Championship Cards,Energy,N/A,2.72
Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,2.72
Uncommon,POP Series 5,Energy,N/A,2.7
Promo,League & Championship Cards,Energy,N/A,2.54
Promo,League & Championship Cards,Energy,N/A,2.54
Promo,League & Championship Cards,Energy,N/A,2.53
Uncommon,Team Magma vs Team Aqua,Energy,N/A,2.49
Rare,Power Keepers,Energy,N/A,2.49
Promo,League & Championship Cards,Energy,N/A,2.45
Uncommon,XY - Roaring Skies,Energy,N/A,2.28
Promo,League & Championship Cards,Energy,N/A,2.26
Promo,League & Championship Cards,Energy,N/A,2.22
Uncommon,Legendary Collection,Energy,N/A,2.18
Promo,League & Championship Cards,Energy,N/A,2.18
Common,Deck Exclusives,Energy,N/A,2.14
Uncommon,Dragon Frontiers,Energy,N/A,2.13
Uncommon,Next Destinies,Energy,N/A,2.13
Rare,Delta Species,Energy,N/A,2.11
Promo,League & Championship Cards,Energy,N/A,2.07
Rare,Mysterious Treasures,Energy,N/A,2.07
Uncommon,Base Set 2,Energy,N/A,2.06
Uncommon,HeartGold SoulSilver,Energy,N/A,2.06
Promo,League & Championship Cards,Energy,N/A,2.01
Rare,Legend Maker,Energy,N/A,1.98
Promo,League & Championship Cards,Energy,N/A,1.95
Promo,League & Championship Cards,Energy,N/A,1.94
Promo,League & Championship Cards,Energy,N/A,1.87
Common,Expedition,Energy,N/A,1.85
Promo,League & Championship Cards,Energy,N/A,1.79
Common,Base Set (Shadowless),Energy,N/A,1.73
Common,Kalos Starter Set,Energy,N/A,1.72
Promo,League & Championship Cards,Energy,N/A,1.64
Prism Rare,SM - Ultra Prism,Energy,N/A,1.59
Promo,League & Championship Cards,Energy,N/A,1.52
Promo,League & Championship Cards,Energy,N/A,1.49
Uncommon,SWSH02: Rebel Clash,Energy,N/A,1.48
Rare,Sandstorm,Energy,N/A,1.44
Common,Expedition,Energy,N/A,1.41
Promo,League & Championship Cards,Energy,N/A,1.4
Rare,Holon Phantoms,Energy,N/A,1.39
Common,Diamond and Pearl,Energy,N/A,1.39
Promo,League & Championship Cards,Energy,N/A,1.35
Uncommon,Power Keepers,Energy,N/A,1.32
Uncommon,Team Magma vs Team Aqua,Energy,N/A,1.31
Rare,FireRed & LeafGreen,Energy,N/A,1.31
Rare,Power Keepers,Energy,N/A,1.28
Rare,Delta Species,Energy,N/A,1.28
Rare,Holon Phantoms,Energy,N/A,1.27
Rare,Emerald,Energy,N/A,1.26
Rare,Unseen Forces,Energy,N/A,1.25
Promo,League & Championship Cards,Energy,N/A,1.25
Uncommon,Dragons Exalted,Energy,N/A,1.22
Common,Gym Challenge,Energy,N/A,1.21
Promo,League & Championship Cards,Energy,N/A,1.2
Rare,Dragon Frontiers,Energy,N/A,1.19
Common,Base Set (Shadowless),Energy,N/A,1.15
Uncommon,XY - Fates Collide,Energy,N/A,1.14
Promo,League & Championship Cards,Energy,N/A,1.14
Common,Gym Challenge,Energy,N/A,1.09
Promo,League & Championship Cards,Energy,N/A,1.09
Uncommon,XY - Phantom Forces,Energy,N/A,1.07
Promo,League & Championship Cards,Energy,N/A,1.06
Rare,Delta Species,Energy,N/A,1.05
Common,Base Set (Shadowless),Energy,N/A,1.04
Promo,League & Championship Cards,Energy,N/A,1.04
Uncommon,Unseen Forces,Energy,N/A,1.04
Uncommon,Power Keepers,Energy,N/A,1.03
Uncommon,Dragons Exalted,Energy,N/A,1.03
Promo,League & Championship Cards,Energy,N/A,1.03
Common,Deck Exclusives,Energy,N/A,1.01
Uncommon,Shining Legends,Energy,N/A,1.01
Promo,League & Championship Cards,Energy,N/A,1.0
Common,Base Set (Shadowless),Energy,N/A,1.0
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,1.0
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,1.0
Rare,Ruby and Sapphire,Energy,N/A,1.0
Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.99
Rare,Power Keepers,Energy,N/A,0.98
Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.97
Rare,Delta Species,Energy,N/A,0.96
Uncommon,XY - Furious Fists,Energy,N/A,0.96
Common,League & Championship Cards,Energy,N/A,0.95
Uncommon,Stormfront,Energy,N/A,0.93
Uncommon,SM - Unbroken Bonds,Energy,N/A,0.93
Common,Expedition,Energy,N/A,0.91
Promo,League & Championship Cards,Energy,N/A,0.9
Common,Diamond and Pearl,Energy,N/A,0.89
Common,Gym Heroes,Energy,N/A,0.88
Common,Base Set (Shadowless),Energy,N/A,0.87
Uncommon,Next Destinies,Energy,N/A,0.87
Rare,Dragon Frontiers,Energy,N/A,0.85
Promo,League & Championship Cards,Energy,N/A,0.85
Common,Black and White,Energy,N/A,0.85
Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.85
Common,Expedition,Energy,N/A,0.85
Uncommon,Legendary Treasures,Energy,N/A,0.83
Common,Expedition,Energy,N/A,0.81
Promo,League & Championship Cards,Energy,N/A,0.8
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.79
Rare,Ruby and Sapphire,Energy,N/A,0.79
Promo,League & Championship Cards,Energy,N/A,0.79
Uncommon,Unseen Forces,Energy,N/A,0.78
Common,Expedition,Energy,N/A,0.77
Common,League & Championship Cards,Energy,N/A,0.76
Common,Diamond and Pearl,Energy,N/A,0.76
Common,Gym Heroes,Energy,N/A,0.76
Rare,Ruby and Sapphire,Energy,N/A,0.76
Common,Black and White,Energy,N/A,0.75
Common,Base Set (Shadowless),Energy,N/A,0.75
Uncommon,Majestic Dawn,Energy,N/A,0.74
Prism Rare,SM - Forbidden Light,Energy,N/A,0.74
Uncommon,Team Rocket,Energy,N/A,0.73
Promo,League & Championship Cards,Energy,N/A,0.72
Promo,League & Championship Cards,Energy,N/A,0.72
Uncommon,Team Rocket,Energy,N/A,0.7
Uncommon,Triumphant,Energy,N/A,0.68
Rare,Unseen Forces,Energy,N/A,0.68
Common,Gym Challenge,Energy,N/A,0.67
Uncommon,Holon Phantoms,Energy,N/A,0.67
Common,Diamond and Pearl,Energy,N/A,0.66
Promo,League & Championship Cards,Energy,N/A,0.66
Uncommon,Unseen Forces,Energy,N/A,0.65
Uncommon,Undaunted,Energy,N/A,0.65
Common,Base Set 2,Energy,N/A,0.65
Rare,Emerald,Energy,N/A,0.65
Uncommon,SM - Celestial Storm,Energy,N/A,0.64
Uncommon,Deoxys,Energy,N/A,0.64
Common,Black and White,Energy,N/A,0.64
Rare,Dragon Frontiers,Energy,N/A,0.63
Uncommon,Holon Phantoms,Energy,N/A,0.63
Uncommon,Legendary Collection,Energy,N/A,0.63
Promo,League & Championship Cards,Energy,N/A,0.63
Uncommon,Platinum,Energy,N/A,0.61
Uncommon,Dragon Frontiers,Energy,N/A,0.61
Promo,League & Championship Cards,Energy,N/A,0.6
Common,Gym Challenge,Energy,N/A,0.59
Rare,Holon Phantoms,Energy,N/A,0.58
Uncommon,Majestic Dawn,Energy,N/A,0.58
Uncommon,XY Base Set,Energy,N/A,0.58
Uncommon,Dragon Frontiers,Energy,N/A,0.58
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.58
Rare,Delta Species,Energy,N/A,0.58
Rare,Emerald,Energy,N/A,0.57
Common,Black and White,Energy,N/A,0.56
Common,Black and White,Energy,N/A,0.56
Uncommon,SM Base Set,Energy,N/A,0.56
Uncommon,Generations,Energy,N/A,0.55
Common,Gym Heroes,Energy,N/A,0.54
Common,Black and White,Energy,N/A,0.53
Common,Base Set,Energy,N/A,0.53
Uncommon,Call of Legends,Energy,N/A,0.53
Common,Gym Challenge,Energy,N/A,0.52
Common,Base Set,Energy,N/A,0.51
Uncommon,Undaunted,Energy,N/A,0.5
Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.5
Common,BW Trainer Kit: Excadrill & Zoroark,Energy,N/A,0.5
Common,Ruby and Sapphire,Energy,N/A,0.5
Common,Gym Challenge,Energy,N/A,0.5
Uncommon,Majestic Dawn,Energy,N/A,0.5
Common,Gym Heroes,Energy,N/A,0.5
Uncommon,Mysterious Treasures,Energy,N/A,0.49
Uncommon,Majestic Dawn,Energy,N/A,0.49
Uncommon,Secret Wonders,Energy,N/A,0.49
Uncommon,Stormfront,Energy,N/A,0.49
Common,Base Set,Energy,N/A,0.49
Common,League & Championship Cards,Energy,N/A,0.49
Common,Gym Heroes,Energy,N/A,0.49
Uncommon,XY - Furious Fists,Energy,N/A,0.48
Uncommon,XY - Fates Collide,Energy,N/A,0.48
Common,Neo Genesis,Energy,N/A,0.47
Common,Base Set,Energy,N/A,0.46
Common,Diamond and Pearl,Energy,N/A,0.46
Common,EX Battle Stadium,Energy,N/A,0.46
Common,Neo Genesis,Energy,N/A,0.46
Common,Gym Heroes,Energy,N/A,0.46
Uncommon,XY - Phantom Forces,Energy,N/A,0.45
Uncommon,Mysterious Treasures,Energy,N/A,0.44
Common,Black and White,Energy,N/A,0.44
Common,Ruby and Sapphire,Energy,N/A,0.43
Common,Black and White,Energy,N/A,0.43
Promo,League & Championship Cards,Energy,N/A,0.43
Uncommon,Rising Rivals,Energy,N/A,0.43
Common,Neo Genesis,Energy,N/A,0.42
Common,BW Trainer Kit: Excadrill & Zoroark,Energy,N/A,0.42
Uncommon,XY - Evolutions,Energy,N/A,0.42
Uncommon,SM - Unified Minds,Energy,N/A,0.42
Common,XY Base Set,Energy,N/A,0.41
Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.41
Common,Neo Genesis,Energy,N/A,0.41
Common,Base Set 2,Energy,N/A,0.41
Uncommon,XY - Primal Clash,Energy,N/A,0.41
Uncommon,Call of Legends,Energy,N/A,0.4
Common,Neo Genesis,Energy,N/A,0.4
Common,XY Base Set,Energy,N/A,0.4
Common,Ruby and Sapphire,Energy,N/A,0.4
Common,Neo Genesis,Energy,N/A,0.39
Uncommon,SWSH02: Rebel Clash,Energy,N/A,0.39
Uncommon,SWSH03: Darkness Ablaze,Energy,N/A,0.38
Common,Generations,Energy,N/A,0.38
Common,Diamond and Pearl,Energy,N/A,0.38
Common,Secret Wonders,Energy,N/A,0.37
Common,Battle Academy,Energy,N/A,0.37
Common,Base Set 2,Energy,N/A,0.37
Uncommon,XY Base Set,Energy,N/A,0.37
Uncommon,SM - Ultra Prism,Energy,N/A,0.37
Common,XY Base Set,Energy,N/A,0.36
Promo,League & Championship Cards,Energy,N/A,0.36
Common,Base Set,Energy,N/A,0.36
Uncommon,XY - BREAKpoint,Energy,N/A,0.35
Common,Base Set,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,Battle Academy,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Uncommon,SM - Ultra Prism,Energy,N/A,0.35
Uncommon,Rising Rivals,Energy,N/A,0.34
Common,Ruby and Sapphire,Energy,N/A,0.34
Uncommon,Rising Rivals,Energy,N/A,0.34
Uncommon,Legend Maker,Energy,N/A,0.34
Uncommon,SM - Forbidden Light,Energy,N/A,0.34
Common,XY Base Set,Energy,N/A,0.33
Common,Ruby and Sapphire,Energy,N/A,0.32
Common,Generations,Energy,N/A,0.32
Uncommon,SM Base Set,Energy,N/A,0.32
Uncommon,Double Crisis,Energy,N/A,0.32
Uncommon,SWSH03: Darkness Ablaze,Energy,N/A,0.32
Uncommon,XY - Primal Clash,Energy,N/A,0.32
Common,Generations,Energy,N/A,0.31
Common,XY Base Set,Energy,N/A,0.31
Common,DP Training Kit 1 Blue,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,Battle Academy,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.3
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Base Set,Energy,N/A,0.3
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.3
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.3
Uncommon,Plasma Blast,Energy,N/A,0.29
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.29
Promo,League & Championship Cards,Energy,N/A,0.29
Common,Generations,Energy,N/A,0.29
Uncommon,Double Crisis,Energy,N/A,0.29
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.29
Common,Kalos Starter Set,Energy,N/A,0.29
Common,Base Set 2,Energy,N/A,0.29
Uncommon,SWSH05: Battle Styles,Energy,N/A,0.29
Common,XY Base Set,Energy,N/A,0.28
Uncommon,Rising Rivals,Energy,N/A,0.28
Common,XY - Evolutions,Energy,N/A,0.28
Common,Generations,Energy,N/A,0.28
Common,Base Set 2,Energy,N/A,0.28
Common,EX Battle Stadium,Energy,N/A,0.27
Common,XY Base Set,Energy,N/A,0.27
Common,Generations,Energy,N/A,0.27
Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.27
Common,EX Trainer Kit 1: Latias & Latios,Energy,N/A,0.26
Uncommon,XY - BREAKthrough,Energy,N/A,0.26
Common,Kalos Starter Set,Energy,N/A,0.26
Uncommon,SM - Cosmic Eclipse,Energy,N/A,0.26
Uncommon,SM - Lost Thunder,Energy,N/A,0.26
Common,Battle Academy,Energy,N/A,0.25
Common,DP Trainer Kit: Manaphy & Lucario,Energy,N/A,0.25
Common,League & Championship Cards,Energy,N/A,0.25
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.25
Common,XY - Evolutions,Energy,N/A,0.25
Promo,League & Championship Cards,Energy,N/A,0.25
Common,XY - Evolutions,Energy,N/A,0.25
Common,Kalos Starter Set,Energy,N/A,0.25
Common,XY - Evolutions,Energy,N/A,0.25
Common,Base Set 2,Energy,N/A,0.25
Common,League & Championship Cards,Energy,N/A,0.25
Common,XY Base Set,Energy,N/A,0.25
Common,Generations,Energy,N/A,0.25
Common,League & Championship Cards,Energy,N/A,0.24
Common,Ruby and Sapphire,Energy,N/A,0.24
Uncommon,SWSH03: Darkness Ablaze,Energy,N/A,0.23
Promo,League & Championship Cards,Energy,N/A,0.23
Common,XY - Evolutions,Energy,N/A,0.23
Uncommon,XY - Ancient Origins,Energy,N/A,0.23
Common,Battle Academy,Energy,N/A,0.23
Uncommon,SWSH02: Rebel Clash,Energy,N/A,0.23
Common,Battle Academy,Energy,N/A,0.22
Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.22
Common,Generations,Energy,N/A,0.22
Uncommon,SM - Crimson Invasion,Energy,N/A,0.21
Common,Battle Academy,Energy,N/A,0.21
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.21
Common,SWSH01: Sword & Shield Base Set,Energy,N/A,0.21
Common,Generations,Energy,N/A,0.21
Promo,League & Championship Cards,Energy,N/A,0.21
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.2
Common,Battle Academy,Energy,N/A,0.2
Common,XY - Evolutions,Energy,N/A,0.2
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.2
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.2
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.2
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.2
Common,League & Championship Cards,Energy,N/A,0.2
Common,XY - Evolutions,Energy,N/A,0.2
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.2
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.2
Common,Kalos Starter Set,Energy,N/A,0.2
Uncommon,SWSH05: Battle Styles,Energy,N/A,0.19
Uncommon,SWSH01: Sword & Shield Base Set,Energy,N/A,0.19
Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.19
Common,Kalos Starter Set,Energy,N/A,0.19
Common,Battle Academy,Energy,N/A,0.18
Uncommon,XY - Ancient Origins,Energy,N/A,0.18
Common,Battle Academy,Energy,N/A,0.18
Common,Battle Academy,Energy,N/A,0.18
Promo,League & Championship Cards,Energy,N/A,0.18
Common,XY - Evolutions,Energy,N/A,0.17
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.17
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.17
Promo,League & Championship Cards,Energy,N/A,0.17
Common,Deck Exclusives,Energy,N/A,0.17
Common,DP Trainer Kit: Manaphy & Lucario,Energy,N/A,0.17
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.16
Common,XY - Evolutions,Energy,N/A,0.16
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.16
Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.16
Uncommon,Shining Legends,Energy,N/A,0.16
Common,Deck Exclusives,Energy,N/A,0.16
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Promo,League & Championship Cards,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,League & Championship Cards,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,XY Trainer Kit: Pikachu Libre & Suicune,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,Battle Academy,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
Common,SM Trainer Kit: Lycanroc & Alolan Raichu,Energy,N/A,0.15
