Market Price,Rarity_Common,Rarity_Holo Rare,Rarity_Prism Rare,Rarity_Promo,Rarity_Rare,Rarity_Rare Ace,Rarity_Rare BREAK,Rarity_Secret Rare,Rarity_Shiny Holo Rare,Rarity_Ultra Rare,Rarity_Uncommon,Card Type_Item,Card Type_Pokemon,Card Type_Stadium,Card Type_Supporter,Card Type_Tool
19.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
