Card Name,Rarity,Set Name,Card Type,Pokemon Name,Market Price
Metal Energy - 95/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,16.58
Darkness Energy - 94/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,16.17
Grass Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,15.00
Unit Energy FDY (Secret),Secret Rare,SM - Forbidden Light,Energy,N/A,14.85
Single Strike Energy (Secret),Secret Rare,SWSH05: Battle Styles,Energy,N/A,14.63
Weakness Guard Energy (Secret),Secret Rare,SM - Unified Minds,Energy,N/A,14.28
Fire Energy - 89/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,14.03
Capture Energy (Secret),Secret Rare,SWSH03: Darkness Ablaze,Energy,N/A,13.28
Psychic Energy,Common,HeartGold SoulSilver,Energy,N/A,13.19
Psychic Energy - 92/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,13.09
Water Energy - 90/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,13.02
Double Colorless Energy,Uncommon,Base Set (Shadowless),Energy,N/A,12.81
Double Rainbow Energy,Rare,Emerald,Energy,N/A,12.33
Double Rainbow Energy,Rare,Team Magma vs Team Aqua,Energy,N/A,12.02
Metal Energy (Special),Holo Rare,Neo Genesis,Energy,N/A,11.49
Twin Energy (Secret),Secret Rare,SWSH02: Rebel Clash,Energy,N/A,11.45
Lightning Energy,Holo Rare,Emerald,Energy,N/A,11.30
Recycle Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,10.89
Unit Energy GRW (Secret Rare),Secret Rare,SM - Ultra Prism,Energy,N/A,10.74
Double Colorless Energy - 90/108 (NA International Championship Promo),Promo,League & Championship Cards,Energy,N/A,10.73
Fighting Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,10.67
Darkness Energy (Basic),Common,HeartGold SoulSilver,Energy,N/A,10.67
Triple Acceleration Energy (Secret),Secret Rare,SM - Unbroken Bonds,Energy,N/A,10.61
Fire Energy,Common,HeartGold SoulSilver,Energy,N/A,10.25
Fire Energy,Holo Rare,Emerald,Energy,N/A,9.99
Bounce Energy,Uncommon,Skyridge,Energy,N/A,9.84
Lightning Energy,Common,HeartGold SoulSilver,Energy,N/A,9.51
Grass Energy,Common,HeartGold SoulSilver,Energy,N/A,9.51
Fighting Energy,Common,HeartGold SoulSilver,Energy,N/A,9.39
Unit Energy LPM (Secret Rare),Secret Rare,SM - Ultra Prism,Energy,N/A,9.25
Recycle Energy (Secret),Secret Rare,SM - Unified Minds,Energy,N/A,8.98
Double Rainbow Energy,Rare,POP Series 5,Energy,N/A,8.96
Metal Energy (Basic),Common,HeartGold SoulSilver,Energy,N/A,8.85
Lightning Energy - 91/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,8.50
Grass Energy - 88/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,8.39
Rainbow Energy (WotC League Promo),Promo,League & Championship Cards,Energy,N/A,8.30
Draw Energy (Secret),Secret Rare,SM - Cosmic Eclipse,Energy,N/A,8.26
Fire Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,8.14
Rainbow Energy,Rare,Team Rocket,Energy,N/A,8.00
Double Rainbow Energy,Rare,Crystal Guardians,Energy,N/A,7.50
Lightning Energy,Holo Rare,Holon Phantoms,Energy,N/A,7.20
Water Energy,Common,HeartGold SoulSilver,Energy,N/A,7.14
Fighting Energy - 93/95 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,7.12
Cyclone Energy,Uncommon,Skyridge,Energy,N/A,7.04
Counter Energy (Secret),Secret Rare,SM - Crimson Invasion,Energy,N/A,7.03
Metal Energy (Special),Rare,Aquapolis,Energy,N/A,6.74
Fire Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,6.73
Metal Energy (Special),Rare,Expedition,Energy,N/A,6.72
Water Energy,Holo Rare,Emerald,Energy,N/A,6.70
Recycle Energy,Rare,Neo Genesis,Energy,N/A,6.62
Psychic Energy,Holo Rare,Emerald,Energy,N/A,6.24
Lightning Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,6.23
Fire Energy,Holo Rare,Holon Phantoms,Energy,N/A,6.06
Fire Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,6.05
Psychic Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,5.97
Grass Energy,Holo Rare,Emerald,Energy,N/A,5.88
Darkness Energy (Special),Rare,Aquapolis,Energy,N/A,5.79
Scramble Energy,Uncommon,Deoxys,Energy,N/A,5.64
Double Colorless Energy - 103/123 (League Promo),Promo,League & Championship Cards,Energy,N/A,5.48
Darkness Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,5.47
Psychic Energy,Rare,Power Keepers,Energy,N/A,5.41
Darkness Energy (Special),Rare,Neo Genesis,Energy,N/A,5.38
Warp Energy (Secret),Secret Rare,SM - Crimson Invasion,Energy,N/A,5.33
Water Energy,Holo Rare,Holon Phantoms,Energy,N/A,5.31
Double Colorless Energy,Uncommon,HeartGold SoulSilver,Energy,N/A,5.26
Fire Energy,Rare,Power Keepers,Energy,N/A,5.20
Darkness Energy (Special),Rare,Expedition,Energy,N/A,5.17
Retro Energy,Uncommon,Skyridge,Energy,N/A,5.01
Dark Metal Energy,Uncommon,Team Rocket Returns,Energy,N/A,4.97
Metal Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,4.86
Psychic Energy,Holo Rare,Holon Phantoms,Energy,N/A,4.82
Fighting Energy,Holo Rare,Emerald,Energy,N/A,4.66
Warp Energy,Uncommon,Aquapolis,Energy,N/A,4.62
Blend Energy GRPD (117/124) (League Promo),Promo,League & Championship Cards,Energy,N/A,4.59
Water Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,4.48
Metal Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,4.34
Lightning Energy,Common,Diamond and Pearl,Energy,N/A,4.14
R Energy,Uncommon,Team Rocket Returns,Energy,N/A,4.05
Psychic Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,4.03
Burning Energy,Uncommon,XY - BREAKthrough,Energy,N/A,4.02
Psychic Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,3.99
Fighting Energy,Holo Rare,Holon Phantoms,Energy,N/A,3.88
Darkness Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,3.87
Grass Energy,Holo Rare,Holon Phantoms,Energy,N/A,3.84
Lightning Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,3.76
Weakness Guard Energy,Uncommon,SM - Unified Minds,Energy,N/A,3.63
Water Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,3.54
Double Colorless Energy,Uncommon,Base Set,Energy,N/A,3.41
Blend Energy WLFM - 118/124 (League Promo),Promo,League & Championship Cards,Energy,N/A,3.36
Darkness Energy - 111/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,3.30
Darkness Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,3.29
Fighting Energy,Rare,Power Keepers,Energy,N/A,3.22
Crystal Energy,Uncommon,Aquapolis,Energy,N/A,3.20
Boost Energy,Uncommon,Aquapolis,Energy,N/A,3.17
Grass Energy,Rare,Power Keepers,Energy,N/A,3.16
Heal Energy,Uncommon,Deoxys,Energy,N/A,3.16
Grass Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,3.15
Delta Species Rainbow Energy,Uncommon,POP Series 5,Energy,N/A,3.00
Grass Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,2.99
Psychic Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,2.98
Water Energy,Rare,Power Keepers,Energy,N/A,2.89
Lightning Energy,Rare,Power Keepers,Energy,N/A,2.84
Capture Energy,Uncommon,SWSH02: Rebel Clash,Energy,N/A,2.83
Heal Energy,Uncommon,POP Series 4,Energy,N/A,2.81
Psychic Energy,Common,Diamond and Pearl,Energy,N/A,2.76
Lightning Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,2.72
Fire Energy,Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,2.72
Boost Energy,Uncommon,POP Series 5,Energy,N/A,2.70
Metal Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,2.54
Fighting Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,2.54
Metal Energy - 112/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,2.53
Magma Energy,Uncommon,Team Magma vs Team Aqua,Energy,N/A,2.49
Multi Energy,Rare,Power Keepers,Energy,N/A,2.49
Water Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,2.45
Double Dragon Energy,Uncommon,XY - Roaring Skies,Energy,N/A,2.28
Grass Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,2.26
Plasma Energy - 106/116 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,2.22
Full Heal Energy,Uncommon,Legendary Collection,Energy,N/A,2.18
Grass Energy (2009 Unnumbered POP Promo),Promo,League & Championship Cards,Energy,N/A,2.18
Lightning Energy (2017 Unnumbered) (Wave Foil),Common,Deck Exclusives,Energy,N/A,2.14
Scramble Energy,Uncommon,Dragon Frontiers,Energy,N/A,2.13
Prism Energy,Uncommon,Next Destinies,Energy,N/A,2.13
Holon Energy WP,Rare,Delta Species,Energy,N/A,2.11
Water Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,2.07
Multi Energy,Rare,Mysterious Treasures,Energy,N/A,2.07
Double Colorless Energy,Uncommon,Base Set 2,Energy,N/A,2.06
Rainbow Energy,Uncommon,HeartGold SoulSilver,Energy,N/A,2.06
Fighting Energy (2006-2007 League Promo),Promo,League & Championship Cards,Energy,N/A,2.01
Rainbow Energy,Rare,Legend Maker,Energy,N/A,1.98
Lightning Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.95
Darkness Energy (Special) - 79/90 (League Promo),Promo,League & Championship Cards,Energy,N/A,1.94
Fire Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.87
Fire Energy,Common,Expedition,Energy,N/A,1.85
Psychic Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.79
Water Energy,Common,Base Set (Shadowless),Energy,N/A,1.73
Fairy Energy,Common,Kalos Starter Set,Energy,N/A,1.72
Fire Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.64
Super Boost Energy Prism Star,Prism Rare,SM - Ultra Prism,Energy,N/A,1.59
Darkness Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.52
Grass Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.49
Horror P Energy,Uncommon,SWSH02: Rebel Clash,Energy,N/A,1.48
Multi Energy,Rare,Sandstorm,Energy,N/A,1.44
Water Energy,Common,Expedition,Energy,N/A,1.41
Fire Energy - 106/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.40
Multi Energy,Rare,Holon Phantoms,Energy,N/A,1.39
Metal Energy (Basic),Common,Diamond and Pearl,Energy,N/A,1.39
Psychic Energy - 109/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.35
Warp Energy,Uncommon,Power Keepers,Energy,N/A,1.32
Aqua Energy,Uncommon,Team Magma vs Team Aqua,Energy,N/A,1.31
Multi Energy,Rare,FireRed & LeafGreen,Energy,N/A,1.31
Darkness Energy (Special),Rare,Power Keepers,Energy,N/A,1.28
Darkness Energy (Special),Rare,Delta Species,Energy,N/A,1.28
Metal Energy (Special),Rare,Holon Phantoms,Energy,N/A,1.27
Multi Energy,Rare,Emerald,Energy,N/A,1.26
Metal Energy (Special),Rare,Unseen Forces,Energy,N/A,1.25
Fighting Energy (2011 Pokemon League Promo),Promo,League & Championship Cards,Energy,N/A,1.25
Blend Energy GRPD,Uncommon,Dragons Exalted,Energy,N/A,1.22
Lightning Energy,Common,Gym Challenge,Energy,N/A,1.21
Water Energy (107/114 - Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.20
Holon Energy WP,Rare,Dragon Frontiers,Energy,N/A,1.19
Grass Energy,Common,Base Set (Shadowless),Energy,N/A,1.15
Strong Energy,Uncommon,XY - Fates Collide,Energy,N/A,1.14
Lightning Energy - 108/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.14
Water Energy,Common,Gym Challenge,Energy,N/A,1.09
Grass Energy - 105/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.09
Mystery Energy,Uncommon,XY - Phantom Forces,Energy,N/A,1.07
Metal Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.06
Holon Energy FF,Rare,Delta Species,Energy,N/A,1.05
Fire Energy,Common,Base Set (Shadowless),Energy,N/A,1.04
Fighting Energy (2010 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.04
Cyclone Energy,Uncommon,Unseen Forces,Energy,N/A,1.04
Cyclone Energy,Uncommon,Power Keepers,Energy,N/A,1.03
Blend Energy WLFM,Uncommon,Dragons Exalted,Energy,N/A,1.03
Fire Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,1.03
Psychic Energy (2017 Unnumbered) (Wave Foil),Common,Deck Exclusives,Energy,N/A,1.01
Double Colorless Energy,Uncommon,Shining Legends,Energy,N/A,1.01
Water Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,1.00
Fighting Energy,Common,Base Set (Shadowless),Energy,N/A,1.00
Lightning Energy (#28),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,1.00
Lightning Energy (#15),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,1.00
Rainbow Energy,Rare,Ruby and Sapphire,Energy,N/A,1.00
Lightning Energy (Minun),Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.99
Metal Energy (Special),Rare,Power Keepers,Energy,N/A,0.98
Psychic Energy,Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.97
Holon Energy GL,Rare,Delta Species,Energy,N/A,0.96
Strong Energy,Uncommon,XY - Furious Fists,Energy,N/A,0.96
Lightning Energy (2010 Unnumbered HGSS Style Non-Holo),Common,League & Championship Cards,Energy,N/A,0.95
Warp Energy,Uncommon,Stormfront,Energy,N/A,0.93
Triple Acceleration Energy,Uncommon,SM - Unbroken Bonds,Energy,N/A,0.93
Lightning Energy,Common,Expedition,Energy,N/A,0.91
Fire Energy (2010 Unnumbered HGSS Style Non-Holo),Promo,League & Championship Cards,Energy,N/A,0.90
Fighting Energy,Common,Diamond and Pearl,Energy,N/A,0.89
Fire Energy,Common,Gym Heroes,Energy,N/A,0.88
Psychic Energy,Common,Base Set (Shadowless),Energy,N/A,0.87
Double Colorless Energy,Uncommon,Next Destinies,Energy,N/A,0.87
Holon Energy FF,Rare,Dragon Frontiers,Energy,N/A,0.85
Fighting Energy - 110/114 (Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,0.85
Fire Energy,Common,Black and White,Energy,N/A,0.85
Lightning Energy (Plusle),Common,EX Trainer Kit 2: Plusle & Minun,Energy,N/A,0.85
Fighting Energy,Common,Expedition,Energy,N/A,0.85
Double Colorless Energy,Uncommon,Legendary Treasures,Energy,N/A,0.83
Psychic Energy,Common,Expedition,Energy,N/A,0.81
Water Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,0.80
Fairy Energy (#6),Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.79
Metal Energy (Special),Rare,Ruby and Sapphire,Energy,N/A,0.79
Psychic Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,0.79
Warp Energy,Uncommon,Unseen Forces,Energy,N/A,0.78
Grass Energy,Common,Expedition,Energy,N/A,0.77
Darkness Energy (2011 Unnumbered),Common,League & Championship Cards,Energy,N/A,0.76
Darkness Energy (Basic),Common,Diamond and Pearl,Energy,N/A,0.76
Psychic Energy,Common,Gym Heroes,Energy,N/A,0.76
Darkness Energy (Special),Rare,Ruby and Sapphire,Energy,N/A,0.76
Metal Energy (Basic),Common,Black and White,Energy,N/A,0.75
Lightning Energy,Common,Base Set (Shadowless),Energy,N/A,0.75
Recover Energy,Uncommon,Majestic Dawn,Energy,N/A,0.74
Beast Energy Prism Star,Prism Rare,SM - Forbidden Light,Energy,N/A,0.74
Potion Energy,Uncommon,Team Rocket,Energy,N/A,0.73
Lightning Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,0.72
Metal Energy (Special) - 80/90 (League Promo),Promo,League & Championship Cards,Energy,N/A,0.72
Full Heal Energy,Uncommon,Team Rocket,Energy,N/A,0.70
Rescue Energy,Uncommon,Triumphant,Energy,N/A,0.68
Darkness Energy (Special),Rare,Unseen Forces,Energy,N/A,0.68
Psychic Energy,Common,Gym Challenge,Energy,N/A,0.67
Delta Species Rainbow Energy,Uncommon,Holon Phantoms,Energy,N/A,0.67
Fire Energy,Common,Diamond and Pearl,Energy,N/A,0.66
Fighting Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,0.66
Boost Energy,Uncommon,Unseen Forces,Energy,N/A,0.65
Metal Energy (Special),Uncommon,Undaunted,Energy,N/A,0.65
Fire Energy,Common,Base Set 2,Energy,N/A,0.65
Darkness Energy (Special),Rare,Emerald,Energy,N/A,0.65
Rainbow Energy,Uncommon,SM - Celestial Storm,Energy,N/A,0.64
Boost Energy,Uncommon,Deoxys,Energy,N/A,0.64
Lightning Energy,Common,Black and White,Energy,N/A,0.64
Holon Energy GL,Rare,Dragon Frontiers,Energy,N/A,0.63
Dark Metal Energy,Uncommon,Holon Phantoms,Energy,N/A,0.63
Potion Energy,Uncommon,Legendary Collection,Energy,N/A,0.63
Grass Energy (2011 Play! Pokemon Promo),Promo,League & Championship Cards,Energy,N/A,0.63
Rainbow Energy,Uncommon,Platinum,Energy,N/A,0.61
Boost Energy,Uncommon,Dragon Frontiers,Energy,N/A,0.61
Fire Energy (2007 Unnumbered D/P Style Non-Holo),Promo,League & Championship Cards,Energy,N/A,0.60
Fighting Energy,Common,Gym Challenge,Energy,N/A,0.59
Darkness Energy (Special),Rare,Holon Phantoms,Energy,N/A,0.58
Darkness Energy (Special),Uncommon,Majestic Dawn,Energy,N/A,0.58
Double Colorless Energy,Uncommon,XY Base Set,Energy,N/A,0.58
Delta Species Rainbow Energy,Uncommon,Dragon Frontiers,Energy,N/A,0.58
Fairy Energy (#18),Common,XY Trainer Kit: Sylveon & Noivern,Energy,N/A,0.58
Metal Energy (Special),Rare,Delta Species,Energy,N/A,0.58
Metal Energy (Special),Rare,Emerald,Energy,N/A,0.57
Water Energy,Common,Black and White,Energy,N/A,0.56
Darkness Energy (Basic),Common,Black and White,Energy,N/A,0.56
Double Colorless Energy,Uncommon,SM Base Set,Energy,N/A,0.56
Double Colorless Energy,Uncommon,Generations,Energy,N/A,0.55
Lightning Energy,Common,Gym Heroes,Energy,N/A,0.54
Fighting Energy,Common,Black and White,Energy,N/A,0.53
Lightning Energy,Common,Base Set,Energy,N/A,0.53
Darkness Energy (Special),Uncommon,Call of Legends,Energy,N/A,0.53
Fire Energy,Common,Gym Challenge,Energy,N/A,0.52
Water Energy,Common,Base Set,Energy,N/A,0.51
Darkness Energy (Special),Uncommon,Undaunted,Energy,N/A,0.50
Stone Fighting Energy,Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.50
Darkness Energy (#7),Common,BW Trainer Kit: Excadrill & Zoroark,Energy,N/A,0.50
Psychic Energy,Common,Ruby and Sapphire,Energy,N/A,0.50
Grass Energy,Common,Gym Challenge,Energy,N/A,0.50
Health Energy,Uncommon,Majestic Dawn,Energy,N/A,0.50
Grass Energy,Common,Gym Heroes,Energy,N/A,0.50
Metal Energy (Special),Uncommon,Mysterious Treasures,Energy,N/A,0.49
Metal Energy (Special),Uncommon,Majestic Dawn,Energy,N/A,0.49
Darkness Energy (Special),Uncommon,Secret Wonders,Energy,N/A,0.49
Cyclone Energy,Uncommon,Stormfront,Energy,N/A,0.49
Psychic Energy,Common,Base Set,Energy,N/A,0.49
Darkness Energy (2010 Unnumbered HGSS Style Non-Holo),Common,League & Championship Cards,Energy,N/A,0.49
Water Energy,Common,Gym Heroes,Energy,N/A,0.49
Herbal Energy,Uncommon,XY - Furious Fists,Energy,N/A,0.48
Double Colorless Energy,Uncommon,XY - Fates Collide,Energy,N/A,0.48
Lightning Energy,Common,Neo Genesis,Energy,N/A,0.47
Fire Energy,Common,Base Set,Energy,N/A,0.46
Water Energy,Common,Diamond and Pearl,Energy,N/A,0.46
Psychic Energy,Common,EX Battle Stadium,Energy,N/A,0.46
Grass Energy,Common,Neo Genesis,Energy,N/A,0.46
Fighting Energy,Common,Gym Heroes,Energy,N/A,0.46
Double Colorless Energy,Uncommon,XY - Phantom Forces,Energy,N/A,0.45
Darkness Energy (Special),Uncommon,Mysterious Treasures,Energy,N/A,0.44
Grass Energy,Common,Black and White,Energy,N/A,0.44
Fighting Energy,Common,Ruby and Sapphire,Energy,N/A,0.43
Psychic Energy,Common,Black and White,Energy,N/A,0.43
Fighting Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,0.43
Metal Energy (Special),Uncommon,Rising Rivals,Energy,N/A,0.43
Psychic Energy,Common,Neo Genesis,Energy,N/A,0.42
Darkness Energy (#5),Common,BW Trainer Kit: Excadrill & Zoroark,Energy,N/A,0.42
Double Colorless Energy,Uncommon,XY - Evolutions,Energy,N/A,0.42
Recycle Energy,Uncommon,SM - Unified Minds,Energy,N/A,0.42
Darkness Energy (Basic),Common,XY Base Set,Energy,N/A,0.41
Coating Metal Energy,Uncommon,SWSH04: Vivid Voltage,Energy,N/A,0.41
Fire Energy,Common,Neo Genesis,Energy,N/A,0.41
Fighting Energy,Common,Base Set 2,Energy,N/A,0.41
Wonder Energy,Uncommon,XY - Primal Clash,Energy,N/A,0.41
Metal Energy (Special),Uncommon,Call of Legends,Energy,N/A,0.40
Fighting Energy,Common,Neo Genesis,Energy,N/A,0.40
Metal Energy (Basic),Common,XY Base Set,Energy,N/A,0.40
Lightning Energy,Common,Ruby and Sapphire,Energy,N/A,0.40
Water Energy,Common,Neo Genesis,Energy,N/A,0.39
Twin Energy,Uncommon,SWSH02: Rebel Clash,Energy,N/A,0.39
Hiding D Energy,Uncommon,SWSH03: Darkness Ablaze,Energy,N/A,0.38
Fire Energy,Common,Generations,Energy,N/A,0.38
Grass Energy,Common,Diamond and Pearl,Energy,N/A,0.38
Metal Energy (Special),Common,Secret Wonders,Energy,N/A,0.37
Lightning Energy (#9 Pikachu Stamped),Common,Battle Academy,Energy,N/A,0.37
Lightning Energy,Common,Base Set 2,Energy,N/A,0.37
Rainbow Energy,Uncommon,XY Base Set,Energy,N/A,0.37
Unit Energy GRW,Uncommon,SM - Ultra Prism,Energy,N/A,0.37
Water Energy,Common,XY Base Set,Energy,N/A,0.36
Lightning Energy (2007-2008 League Promo),Promo,League & Championship Cards,Energy,N/A,0.36
Grass Energy,Common,Base Set,Energy,N/A,0.36
Splash Energy,Uncommon,XY - BREAKpoint,Energy,N/A,0.35
Fighting Energy,Common,Base Set,Energy,N/A,0.35
Lightning Energy (#8),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#4 Pikachu Stamped),Common,Battle Academy,Energy,N/A,0.35
Lightning Energy (#23),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#14),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#6),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Water Energy (#7),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Water Energy (#6),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#7),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#10),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Water Energy (#2),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#11),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Water Energy (#8),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
Lightning Energy (#18),Common,HGSS Trainer Kit: Gyarados & Raichu,Energy,N/A,0.35
